playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476454,2011,Ryan Nugent-Hopkins,2011020024,EDM,PIT,HOME,20111009,C,other,13,0,1.215,1,0.1669,0.75,0.2381,1,0.25,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,0,0,0,0,0.742,0.119,0.119,0.119,0.119,0,1,2,3,0,0,0,0,1,0,0,0.119,0,0,0,0,3,1,1,0.017,0,0,0.135,0.135,0.135,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.25,1.248,5,16,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020024,EDM,PIT,HOME,20111009,C,all,1024,19,1.215,0.8228,0.2919,0.6047,0.3176,0.7097,0.3594,6,2.434,0.569,0.211,0.521,0.08,0.916,0.704,0.522,0.53,0.487,0,0,3,0,0,3,1,1,0,0,1,0,0,1,2,2,1,2,2,0,1,1,1,1,1,0.045,0.186,0.338,0,1,0,2.8,3,2.804,0,0.045,0,0.338,0.276,0.261,0.256,19,1,1,1,16,4,4,3,8,2,13,2876,2,0,0,2,15.488,1.797,1.742,1.714,1.663,19,3,4,26,1,2,0,12,9,1,0.383,1.076,0.338,0,1,0,24.525,22,20.717,0.253,0.339,0.339,1.71,1.644,1.629,5.828,0.387,0.387,0.421,0.421,5,4,8,17,0,0,0,8,1,0,0.307,0.08,0,0,0,0,18.197,9,9.663,0.072,0,0,0.459,0.498,0.498,1.003,2.433,27,58,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020024,EDM,PIT,HOME,20111009,C,5on5,748,13,1.215,0.7493,0.3715,0.5806,0.4194,0.6667,0.5,2,2.434,0.569,0.211,0.521,0.08,0.916,0.704,0.522,0.53,0.487,0,0,3,0,0,3,1,1,0,0,1,0,0,1,2,2,1,2,1,0,1,0,1,1,1,0.045,0.186,0.338,0,1,0,2.8,3,2.804,0,0.045,0,0.338,0.276,0.261,0.256,13,0,0,1,12,2,4,2,5,1,10,1331,2,0,0,2,10.719,1.109,1.062,1.026,0.983,15,1,2,18,1,1,0,12,3,1,0.383,0.388,0.338,0,1,0,16.525,16,14.717,0.15,0.001,0.339,0.92,0.853,0.848,5.061,0.371,0.371,0.405,0.404,5,3,5,13,0,0,0,7,1,0,0.291,0.08,0,0,0,0,14.197,8,8.663,0.067,0,0,0.438,0.477,0.477,0.347,0.587,13,18,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020024,EDM,PIT,HOME,20111009,C,4on5,39,1,1.215,0,0.1009,0,0.1429,0,0.1429,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,3,1065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067,0.597,4,24,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020024,EDM,PIT,HOME,20111009,C,5on4,224,5,1.215,0.9726,1,0.625,1,0.8333,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,4,2,0,1,2,1,0,239,0,0,0,0,4.026,0.569,0.561,0.569,0.561,4,1,0,5,0,1,0,0,5,0,0,0.569,0,0,0,0,5,5,5,0.086,0.338,0,0.655,0.655,0.646,0.767,0.016,0.016,0.016,0.016,0,1,2,3,0,0,0,1,0,0,0.016,0,0,0,0,0,3,1,1,0.005,0,0,0.021,0.021,0.021,0.338,0,5,0,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020044,EDM,MIN,AWAY,20111013,C,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020044,EDM,MIN,AWAY,20111013,C,all,918,18,-0.21,0.4062,0.3735,0.3846,0.4096,0.3333,0.4242,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.032,0,0,0,0,0,0,0,0,0,18,1,0,3,14,2,2,2,12,1,7,2982,0,0,0,0,2.258,0.21,0.21,0.22,0.22,2,1,2,5,0,0,0,2,1,0,0.076,0.133,0,0,0,0,5.199,3,3.161,0.031,0,0,0.24,0.253,0.253,4.267,0.307,0.307,0.289,0.289,6,0,2,8,0,0,0,5,1,0,0.144,0.163,0,0,0,0,7.625,6,5.746,0.055,0,0,0.362,0.341,0.341,1.499,2.514,34,49,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020044,EDM,MIN,AWAY,20111013,C,5on5,792,16,-0.21,0.4393,0.4322,0.3636,0.4032,0.375,0.4286,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.032,0,0,0,0,0,0,0,0,0,16,0,0,3,13,2,2,2,10,1,5,2183,0,0,0,0,2.258,0.21,0.21,0.22,0.22,2,1,1,4,0,0,0,2,1,0,0.076,0.133,0,0,0,0,4.199,3,3.161,0.031,0,0,0.24,0.253,0.253,3.499,0.268,0.268,0.25,0.25,5,0,2,7,0,0,0,4,1,0,0.105,0.163,0,0,0,0,6.625,5,4.746,0.048,0,0,0.316,0.295,0.295,1.319,1.733,25,37,0,0.033,0,1,0,1
8476454,2011,Ryan Nugent-Hopkins,2011020044,EDM,MIN,AWAY,20111013,C,4on5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8476454,2011,Ryan Nugent-Hopkins,2011020044,EDM,MIN,AWAY,20111013,C,5on4,126,2,-0.21,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,2,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0,3,0,0,0,0,0,0,0
